iter	Passed	Remaining
0	72	58075
1	131	52658
2	182	48610
3	240	47803
4	292	46585
5	347	46028
6	414	46942
7	477	47321
8	546	48036
9	602	47572
10	644	46254
11	712	46760
12	757	45849
13	812	45617
14	862	45141
15	915	44850
16	970	44690
17	1025	44531
18	1078	44341
19	1133	44224
20	1188	44088
21	1249	44201
22	1303	44043
23	1357	43884
24	1422	44101
25	1484	44204
26	1543	44178
27	1589	43824
28	1651	43916
29	1714	44014
30	1779	44141
31	1831	43958
32	1897	44103
33	1950	43946
34	1999	43698
35	2047	43443
36	2087	43057
37	2130	42728
38	2176	42474
39	2229	42352
40	2277	42152
41	2319	41867
42	2361	41575
43	2404	41315
44	2458	41247
45	2500	40992
46	2547	40821
47	2592	40622
48	2639	40451
49	2685	40280
50	2727	40059
51	2769	39838
52	2805	39536
53	2844	39290
54	2888	39127
55	2932	38955
56	2978	38822
57	3025	38703
58	3072	38590
59	3115	38427
60	3164	38342
61	3207	38175
62	3255	38083
63	3311	38079
64	3355	37946
65	3400	37816
66	3448	37725
67	3493	37601
68	3534	37448
69	3577	37307
70	3619	37164
71	3668	37093
72	3719	37046
73	3764	36935
74	3809	36828
75	3861	36784
76	3910	36721
77	3966	36717
78	4018	36671
79	4066	36596
80	4118	36561
81	4192	36706
82	4244	36665
83	4293	36596
84	4339	36501
85	4388	36437
86	4434	36345
87	4501	36424
88	4571	36520
89	4622	36463
90	4692	36558
91	4745	36519
92	4793	36438
93	4849	36421
94	4896	36338
95	4953	36326
96	5018	36372
97	5079	36386
98	5140	36397
99	5215	36505
100	5371	37174
101	5490	37569
102	5585	37797
103	5660	37879
104	5732	37943
105	5803	37996
106	5859	37947
107	5912	37885
108	5977	37895
109	6037	37871
110	6089	37797
111	6138	37709
112	6196	37671
113	6251	37621
114	6304	37553
115	6357	37486
116	6406	37397
117	6465	37367
118	6516	37294
119	6562	37185
120	6609	37090
121	6670	37068
122	6722	36999
123	6774	36932
124	6828	36876
125	6876	36781
126	6923	36687
127	7004	36773
128	7060	36723
129	7109	36641
130	7156	36549
131	7197	36426
132	7238	36302
133	7286	36214
134	7339	36156
135	7391	36089
136	7438	35999
137	7489	35927
138	7556	35936
139	7613	35891
140	7699	35983
141	7791	36106
142	7917	36377
143	8015	36515
144	8093	36562
145	8214	36795
146	8338	37039
147	8440	37186
148	8555	37379
149	8638	37433
150	8708	37430
151	8767	37378
152	8831	37345
153	8887	37282
154	8970	37330
155	9042	37331
156	9110	37313
157	9193	37357
158	9324	37591
159	9480	37920
160	9583	38034
161	9679	38121
162	9747	38094
163	9837	38151
164	9916	38164
165	10003	38204
166	10066	38156
167	10139	38144
168	10197	38073
169	10258	38015
170	10316	37947
171	10380	37902
172	10443	37850
173	10508	37806
174	10568	37744
175	10628	37683
176	10682	37601
177	10760	37600
178	10815	37523
179	10869	37440
180	10950	37448
181	11007	37377
182	11058	37286
183	11107	37184
184	11156	37089
185	11203	36983
186	11248	36872
187	11299	36784
188	11350	36693
189	11411	36635
190	11492	36645
191	11549	36571
192	11606	36502
193	11672	36460
194	11726	36380
195	11787	36324
196	11860	36304
197	11955	36349
198	12028	36327
199	12109	36327
200	12183	36309
201	12242	36242
202	12295	36159
203	12353	36091
204	12434	36091
205	12497	36035
206	12577	36032
207	12644	35989
208	12714	35954
209	12780	35907
210	12877	35945
211	12959	35945
212	13017	35873
213	13068	35784
214	13119	35697
215	13198	35685
216	13340	35842
217	13491	36018
218	13582	36033
219	13661	36017
220	13731	35975
221	13812	35963
222	13869	35885
223	13928	35817
224	13982	35732
225	14023	35618
226	14073	35523
227	14127	35442
228	14177	35351
229	14220	35243
230	14262	35130
231	14305	35024
232	14348	34915
233	14391	34809
234	14443	34726
235	14489	34627
236	14537	34533
237	14589	34449
238	14647	34382
239	14693	34285
240	14741	34192
241	14787	34095
242	14833	34000
243	14879	33906
244	14927	33815
245	14981	33738
246	15031	33652
247	15089	33585
248	15155	33536
249	15220	33485
250	15276	33414
251	15331	33340
252	15397	33289
253	15464	33243
254	15513	33156
255	15559	33063
256	15611	32984
257	15659	32897
258	15706	32807
259	15763	32740
260	15817	32666
261	15890	32629
262	15966	32600
263	16170	32830
264	16280	32868
265	16344	32811
266	16414	32767
267	16496	32745
268	16566	32701
269	16632	32649
270	16690	32579
271	16778	32570
272	16868	32563
273	16955	32550
274	17056	32562
275	17166	32591
276	17251	32572
277	17326	32534
278	17396	32486
279	17481	32464
280	17581	32472
281	17659	32437
282	17728	32386
283	17806	32353
284	17882	32314
285	17983	32319
286	18068	32297
